Player_Name,Salary,Team,Pos,Opp,Proj_FP
P.J. Walker,4800.00,CAR,QB,DET,18.13
Derek Carr,5300.00,LVR,QB,KCC,19.34
Russell Wilson,7400.00,SEA,QB,ARI,26
Alex Smith,5300.00,WAS,QB,CIN,18.15
Deshaun Watson,6500.00,HOU,QB,NEP,22.07
Lamar Jackson,7300.00,BAL,QB,TEN,24.42
Cam Newton,6200.00,NEP,QB,HOU,20.65
Carlos Hyde,4300.00,SEA,RB,ARI,14.17
Joe Burrow,5500.00,CIN,QB,WAS,18.07
Philip Rivers,5600.00,IND,QB,GBP,18.32
Cincinnati Bengals,2300.00,CIN,DST,WAS,7.47
Tua Tagovailoa,5800.00,MIA,QB,DEN,18.74
Jared Goff,5700.00,LAR,QB,TBB,18.43
Carson Wentz,5700.00,PHI,QB,CLE,18.24
Kyler Murray,8500.00,ARI,QB,SEA,26.93
Curtis Samuel,4700.00,CAR,WR,DET,14.75
Patrick Mahomes,7900.00,KCC,QB,LVR,24.78
Andy Dalton,5300.00,DAL,QB,MIN,16.52
Jameis Winston,5900.00,NOS,QB,ATL,18.42
Tom Brady,6500.00,TBB,QB,LAR,20.21
Matt Ryan,6300.00,ATL,QB,NOS,19.6
Denzel Mims,3300.00,NYJ,WR,LAC,10.11
Jakobi Meyers,4900.00,NEP,WR,HOU,15.01
Ben Roethlisberger,6700.00,PIT,QB,JAC,20.48
Jakeem Grant,3500.00,MIA,WR,DEN,10.5
Drew Lock,5400.00,DEN,QB,MIA,16.17
Kirk Cousins,6200.00,MIN,QB,DAL,18.54
Baker Mayfield,5400.00,CLE,QB,PHI,16.04
Duke Johnson,5400.00,HOU,RB,NEP,15.66
A.J. Green,3600.00,CIN,WR,WAS,10.36
Aaron Rodgers,7000.00,GBP,QB,IND,20.17
Matthew Stafford,6000.00,DET,QB,CAR,17
Denver Broncos,2400.00,DEN,DST,MIA,6.79
Brandin Cooks,5200.00,HOU,WR,NEP,14.68
Ryan Tannehill,6100.00,TEN,QB,BAL,17.18
Amari Cooper,5400.00,DAL,WR,MIN,15.09
Adam Thielen,6300.00,MIN,WR,DAL,17.6
Jacksonville Jaguars,2100.00,JAC,DST,PIT,5.83
Jake Luton,5000.00,JAC,QB,PIT,13.84
Logan Thomas,3300.00,WAS,TE,CIN,9.1
Las Vegas Raiders,2000.00,LVR,DST,KCC,5.52
Dalvin Cook,9000.00,MIN,RB,DAL,24.75
Darren Waller,5600.00,LVR,TE,KCC,15.31
Robby Anderson,6000.00,CAR,WR,DET,16.32
Joe Flacco,5000.00,NYJ,QB,LAC,13.55
D.J. Moore,5600.00,CAR,WR,DET,15.16
Dallas Goedert,3800.00,PHI,TE,CLE,10.31
Mark Andrews,4900.00,BAL,TE,TEN,13.24
Detroit Lions,2700.00,DET,DST,CAR,7.3
James Conner,6600.00,PIT,RB,JAC,17.68
Justin Jefferson,6000.00,MIN,WR,DAL,16.07
Washington Football Team,2900.00,WAS,DST,CIN,7.78
Tyler Lockett,6700.00,SEA,WR,ARI,17.95
Antonio Gibson,5800.00,WAS,RB,CIN,15.47
New York Jets,2000.00,NYJ,DST,LAC,5.33
Giovani Bernard,5500.00,CIN,RB,WAS,14.71
Tyler Boyd,5600.00,CIN,WR,WAS,14.89
DeVante Parker,5700.00,MIA,WR,DEN,15.16
DeeJay Dallas,4000.00,SEA,RB,ARI,10.61
Michael Gallup,3700.00,DAL,WR,MIN,9.73
Houston Texans,2600.00,HOU,DST,NEP,6.85
Atlanta Falcons,2300.00,ATL,DST,NOS,6.03
Melvin Gordon,5100.00,DEN,RB,MIA,13.31
D'Andre Swift,6400.00,DET,RB,CAR,16.73
Terry McLaurin,6900.00,WAS,WR,CIN,17.97
Josh Reynolds,3900.00,LAR,WR,TBB,10.12
Noah Fant,4500.00,DEN,TE,MIA,11.66
D.K. Metcalf,7600.00,SEA,WR,ARI,19.62
Cooper Kupp,6500.00,LAR,WR,TBB,16.72
Larry Fitzgerald,3700.00,ARI,WR,SEA,9.47
Hunter Renfrow,3700.00,LVR,WR,KCC,9.49
Carolina Panthers,2700.00,CAR,DST,DET,6.89
Will Fuller,6200.00,HOU,WR,NEP,15.81
Diontae Johnson,5900.00,PIT,WR,JAC,15.04
Mike Davis,6800.00,CAR,RB,DET,17.25
Aaron Jones,7200.00,GBP,RB,IND,18.28
Ezekiel Elliott,6500.00,DAL,RB,MIN,16.35
Chris Godwin,5800.00,TBB,WR,LAR,14.59
Damiere Byrd,3500.00,NEP,WR,HOU,8.78
Randall Cobb,3600.00,HOU,WR,NEP,9.02
Austin Hooper,3900.00,CLE,TE,PHI,9.79
Davante Adams,8600.00,GBP,WR,IND,21.61
Michael Pittman,4500.00,IND,WR,GBP,11.27
James Robinson,6400.00,JAC,RB,PIT,16.03
Robert Tonyan,3200.00,GBP,TE,IND,7.97
DeAndre Hopkins,8100.00,ARI,WR,SEA,20.17
Henry Ruggs,4000.00,LVR,WR,KCC,9.97
Jarvis Landry,5500.00,CLE,WR,PHI,13.64
KJ Hamler,3600.00,DEN,WR,MIA,8.91
La'Mical Perine,4400.00,NYJ,RB,LAC,10.87
Miles Sanders,6900.00,PHI,RB,CLE,16.99
Salvon Ahmed,4800.00,MIA,RB,DEN,11.78
Michael Thomas,7300.00,NOS,WR,ATL,17.88
Tee Higgins,5900.00,CIN,WR,WAS,14.41
New England Patriots,3000.00,NEP,DST,HOU,7.33
Miami Dolphins,3400.00,MIA,DST,DEN,8.3
Corey Davis,4800.00,TEN,WR,BAL,11.66
Calvin Ridley,7000.00,ATL,WR,NOS,17.04
Kenny Golladay,5800.00,DET,WR,CAR,14.02
Anthony Firkser,2500.00,TEN,TE,BAL,6.06
Jalen Reagor,4300.00,PHI,WR,CLE,10.42
Josh Jacobs,7100.00,LVR,RB,KCC,16.97
J.D. McKissic,5200.00,WAS,RB,CIN,12.41
Seattle Seahawks,2300.00,SEA,DST,ARI,5.47
Cleveland Browns,3000.00,CLE,DST,PHI,7.13
JuJu Smith-Schuster,6400.00,PIT,WR,JAC,15.25
Keelan Cole,3800.00,JAC,WR,PIT,8.99
Julio Jones,7500.00,ATL,WR,NOS,17.8
Tennessee Titans,2500.00,TEN,DST,BAL,5.93
Travis Kelce,7300.00,KCC,TE,LVR,17.21
Breshad Perriman,4300.00,NYJ,WR,LAC,10.16
